"artistName","trackName","trackID","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature"
"Cigarettes After Sex","Cry","3p4hRhMcb6ch8OLtATMaLw",0.406,0.399,7,-10.449,1,0.0278,0.756,0.678,0.112,0.163,142.83,256800,4
"New West","Those Eyes","2psRActEWsTlYYd7EDoyVR",0.593,0.354,4,-8.27,1,0.0279,0.698,3.55e-05,0.293,0.241,120.01,220750,3
"Stephen Sanchez","Until I Found You","1Y3LN4zO1Edc2EluIoSPJN",0.551,0.55,10,-5.339,1,0.0286,0.777,0,0.202,0.342,101.19,176440,3
"salvia palth","i was all over her","7svpAkwc6xaSxlbZ7V7JiS",0.529,0.353,7,-12.835,1,0.0292,0.788,0.853,0.116,0.0601,104.557,161463,4
"Billie Eilish","Happier Than Ever","4RVwu0g32PAqgUiJoXsdF8",0.332,0.225,0,-8.697,1,0.0348,0.767,0.00349,0.128,0.297,81.055,298899,3
"Billie Eilish","i love you","6CcJMwBtXByIz4zQLzFkKc",0.421,0.131,0,-18.435,1,0.0382,0.952,0.00453,0.109,0.12,137.446,291796,4
"The 1975","fallingforyou","2TgxCUZdHFkPEVmFge1OSd",0.264,0.285,1,-15.208,1,0.0385,0.892,0.000471,0.344,0.0776,84.825,240671,4
"Cigarettes After Sex","Sunsetz","0SpkyS1Q4MD8GaVcP5YjT4",0.405,0.479,5,-9.396,1,0.0301,0.0527,0.795,0.0974,0.131,75.37,215150,4
"Gracie Abrams","I miss you, I’m sorry","4nyF5lmSziBAt7ESAUjpbx",0.445,0.455,7,-6.405,1,0.0575,0.731,1.47e-06,0.124,0.151,109.885,167538,5
"Giveon","Heartbreak Anniversary","3FAJ6O0NOHQV8Mc5Ri6ENp",0.449,0.465,0,-8.964,1,0.0791,0.524,1.02e-06,0.303,0.543,89.087,198371,3
"EKKSTACY","i want to be by your side","5ZfMb1vgKdvG9Mr2iRXXN2",0.75,0.593,9,-12.074,1,0.0331,0.0792,0.785,0.283,0.846,119.985,157523,4
"Billie Eilish","idontwannabeyouanymore","41zXlQxzTi6cGAjpOXyLYH",0.483,0.412,7,-8.461,1,0.0402,0.737,0,0.116,0.247,170.163,203569,3
"Olivia Rodrigo","deja vu","6HU7h9RYOaPRFeh0R3UeAr",0.442,0.612,2,-7.222,1,0.112,0.584,5.7e-06,0.37,0.178,180.917,215507,4
"JVKE","golden hour","5odlY52u43F5BjByhxg7wg",0.515,0.593,4,-4.801,1,0.0322,0.653,0.162,0.25,0.153,94.467,209260,3
"Sarcastic Sounds","change ur mind","58Mh6zmqSo9IvysPAXnG0h",0.627,0.575,4,-7.38,1,0.232,0.78,0,0.336,0.494,78.546,183451,4
"Conan Gray","People Watching","3TFoEJe5zNuHZStRboWPxg",0.53,0.592,5,-7.281,1,0.0534,0.381,0,0.294,0.544,125.721,158537,4
"Jeremy Zucker","better off","7bdYxWPCs46dQ0XLwySOyv",0.708,0.322,8,-12.46,0,0.0371,0.747,9.24e-05,0.137,0.46,98.892,193947,4
"Clinton Kane","i don't want to watch the world end with someone else","58qX77t2VWMWcycsh9zKLc",0.535,0.359,2,-9.343,1,0.0607,0.771,0,0.111,0.488,154.163,184505,4
"Devin Kennedy","Forget About You (Intimate)","16BMKSNU69eW0y1Q0vWvwa",0.503,0.264,10,-9.762,0,0.0632,0.807,0,0.24,0.44,45.861,100739,4
"EKKSTACY","then i met her","5sFIYKbII6QzRT57hCza5Z",0.457,0.869,1,-7.639,1,0.0279,0.00226,0.02,0.256,0.434,157.061,138307,4
"Daniel Caesar","Best Part (feat. H.E.R.)","1RMJOxR6GRPsBHL8qeC2ux",0.524,0.364,7,-10.209,1,0.0367,0.808,0,0.1,0.436,75.24,209831,4
"Pity Party (Girls Club)","Somewhere in the Universe","2sLAKUdiwa7Ik8XY2ow3DE",0.383,0.461,3,-10.844,1,0.0592,0.427,0.367,0.119,0.106,172.221,100465,4
"Pity Party (Girls Club)","Stuck on u","1nWplg2wIdoaajVFRaHzlf",0.401,0.339,11,-11.247,1,0.0422,0.908,0.00028,0.211,0.219,97.273,80066,4
"Ruel","MUST BE NICE","3odZpVahlTBsfmQ92e1xWb",0.554,0.333,2,-8.611,1,0.029,0.921,0,0.106,0.252,99.852,175920,4
"Christian Kuria","Deep Green","2xGGpmywtvPY3h7JkcwP1E",0.548,0.644,2,-5.621,1,0.026,0.0883,8.54e-05,0.0834,0.466,87.798,203182,4
"NIKI","Every Summertime","68HocO7fx9z0MgDU0ZPHro",0.628,0.676,6,-4.227,1,0.0424,0.393,6.94e-05,0.0978,0.723,78.996,215687,4
"Fiji Blue","Butterflies","1e8OoeGOa2VbOqrBhYDliJ",0.729,0.526,8,-7.241,1,0.0986,0.229,4.56e-05,0.309,0.786,110.02,176481,4
"BENEE","Wishful Thinking","06Xh1KvQofFghlSt33mFjc",0.644,0.661,4,-6.161,1,0.0332,0.144,1.54e-06,0.177,0.55,82.022,213373,4
"keshi","2 soon","5SlU0Yhi51jobhEiGE4xDv",0.517,0.663,6,-6.688,0,0.0375,0.146,0,0.322,0.146,174.032,206512,4
"Halsey","So Good","6kxaaIeowajN7w21PfMLbu",0.576,0.627,3,-4.649,0,0.0449,0.0385,0,0.181,0.311,164.998,176059,4
"keshi","beside you","1Fhb9iJPufNMZSwupsXiRe",0.711,0.747,0,-6.335,1,0.0523,0.459,0,0.0957,0.852,136,166023,4
"88rising","Don't Go Changing","5zWUxtoHFM7kIpH5E2iuvS",0.649,0.576,10,-5.623,1,0.0252,0.319,0,0.199,0.359,85.483,189636,3
"Khalid","Better","6zeeWid2sgw4lap2jV61PZ",0.596,0.552,0,-10.278,0,0.097,0.0765,0.334,0.104,0.112,97.949,229320,4
"Charlie Puth","I Don’t Think That I Like Her","3iLBFgaQJ94iarMgzrTuWb",0.587,0.548,8,-5.846,0,0.0339,0.396,0,0.109,0.713,186.073,188508,4
